lottery_id,draw_date,draw_number,round,main_1,main_2,main_3,main_4,main_5,main_6,main_7,bonus_1
ca_lotto_max,2025-10-07,,1,5,6,16,26,29,37,44,46
ca_lotto_max,2025-10-03,,1,10,17,22,30,36,42,45,33
ca_lotto_max,2025-09-30,,1,14,22,27,31,33,39,50,7
ca_lotto_max,2025-09-26,,1,10,11,21,23,32,36,45,13
ca_lotto_max,2025-09-23,,1,8,9,23,30,38,40,43,41
ca_lotto_max,2025-09-19,,1,3,8,16,26,37,40,44,5
ca_lotto_max,2025-09-16,,1,12,18,25,30,31,38,43,34
ca_lotto_max,2025-09-12,,1,2,3,7,9,13,23,41,42
ca_lotto_max,2025-09-09,,1,2,8,18,25,27,34,42,10
ca_lotto_max,2025-09-05,,1,4,16,20,30,34,46,50,40
ca_lotto_max,2025-09-02,,1,4,14,22,35,37,38,49,45
ca_lotto_max,2025-08-29,,1,3,5,12,18,20,31,34,16
ca_lotto_max,2025-08-26,,1,3,7,14,22,29,33,50,43
ca_lotto_max,2025-08-22,,1,5,8,9,21,22,30,45,16
ca_lotto_max,2025-08-19,,1,7,10,11,17,19,34,45,36
ca_lotto_max,2025-08-15,,1,4,9,19,21,27,41,44,11
ca_lotto_max,2025-08-12,,1,15,16,21,27,28,33,39,10
ca_lotto_max,2025-08-08,,1,7,8,18,28,31,36,41,1
ca_lotto_max,2025-08-05,,1,4,8,12,26,29,33,37,24
ca_lotto_max,2025-08-01,,1,12,21,26,35,39,44,50,18
ca_lotto_max,2025-07-29,,1,10,13,15,17,33,37,46,3
ca_lotto_max,2025-07-25,,1,9,10,22,29,35,37,46,38
ca_lotto_max,2025-07-22,,1,2,3,8,10,42,46,47,20
ca_lotto_max,2025-07-18,,1,9,14,33,40,41,43,44,4
ca_lotto_max,2025-07-15,,1,3,4,7,14,24,41,43,27
ca_lotto_max,2025-07-11,,1,4,5,10,34,36,44,50,23
ca_lotto_max,2025-07-08,,1,7,8,18,27,38,48,50,5
ca_lotto_max,2025-07-04,,1,6,14,23,31,34,35,42,1
ca_lotto_max,2025-07-01,,1,2,5,14,26,33,35,36,10
ca_lotto_max,2025-06-27,,1,8,12,15,27,31,42,47,41
ca_lotto_max,2025-06-24,,1,1,2,7,32,45,46,48,24
ca_lotto_max,2025-06-20,,1,14,17,20,24,42,47,50,25
ca_lotto_max,2025-06-17,,1,2,10,25,36,46,48,50,29
ca_lotto_max,2025-06-13,,1,2,28,34,37,40,46,47,32
ca_lotto_max,2025-06-10,,1,5,9,20,31,37,49,50,29
ca_lotto_max,2025-06-06,,1,2,5,8,9,24,28,32,22
ca_lotto_max,2025-06-03,,1,6,29,39,40,42,44,48,22
ca_lotto_max,2025-05-30,,1,7,9,18,24,25,31,48,14
ca_lotto_max,2025-05-27,,1,5,7,11,18,26,41,46,43
ca_lotto_max,2025-05-23,,1,13,19,23,26,36,39,47,7
