game_id,country_code,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,main_6,main_7,bonus_1,bonus_2
jp_loto6,JP,2025-04-28,381,10,11,13,16,24,26,,12,
jp_loto6,JP,2025-04-24,380,7,12,13,35,37,42,,31,
jp_loto6,JP,2025-04-21,379,9,11,18,21,27,34,,13,
jp_loto6,JP,2025-04-17,378,1,5,12,16,17,40,,4,
jp_loto6,JP,2025-04-14,377,6,9,15,19,24,40,,30,
jp_loto6,JP,2025-04-10,376,15,17,23,29,35,43,,8,
jp_loto6,JP,2025-04-07,375,6,20,23,24,33,35,,27,
jp_loto6,JP,2025-04-03,374,8,12,25,28,32,42,,27,
jp_loto6,JP,2025-03-31,373,14,20,29,31,41,42,,24,
jp_loto6,JP,2025-03-27,372,1,30,36,37,41,43,,33,
jp_loto6,JP,2025-03-24,371,4,19,28,29,34,40,,3,
jp_loto6,JP,2025-03-20,370,3,18,31,36,37,40,,23,
jp_loto6,JP,2025-03-17,369,20,21,23,28,32,34,,6,
jp_loto6,JP,2025-03-13,368,5,10,15,17,29,41,,30,
jp_loto6,JP,2025-03-10,367,1,2,13,19,35,41,,3,
jp_loto6,JP,2025-03-06,366,15,18,19,21,37,40,,17,
jp_loto6,JP,2025-03-03,365,23,25,26,30,34,35,,12,
jp_loto6,JP,2025-02-27,364,4,14,20,28,29,34,,30,
jp_loto6,JP,2025-02-24,363,4,6,22,30,33,36,,2,
jp_loto6,JP,2025-02-20,362,11,13,15,20,35,42,,19,
jp_loto6,JP,2025-02-17,361,2,6,13,21,24,30,,43,
jp_loto6,JP,2025-02-13,360,7,10,14,27,28,32,,4,
jp_loto6,JP,2025-02-10,359,3,14,27,28,32,36,,12,
jp_loto6,JP,2025-02-06,358,2,6,9,26,32,36,,23,
jp_loto6,JP,2025-02-03,357,11,26,27,31,36,37,,42,
jp_loto6,JP,2025-01-30,356,3,7,12,13,35,38,,24,
jp_loto6,JP,2025-01-27,355,6,13,15,22,35,41,,37,
jp_loto6,JP,2025-01-23,354,3,4,22,26,29,35,,37,
jp_loto6,JP,2025-01-20,353,4,12,25,29,34,36,,32,
jp_loto6,JP,2025-01-16,352,17,18,20,23,33,43,,19,
jp_loto6,JP,2025-01-13,351,2,5,28,33,35,36,,34,
jp_loto6,JP,2025-01-09,350,3,4,20,29,35,38,,6,
jp_loto6,JP,2025-01-06,349,4,8,19,22,32,37,,26,
jp_loto6,JP,2024-12-30,348,11,12,27,28,38,43,,10,
jp_loto6,JP,2024-12-26,347,10,22,27,28,31,32,,8,
jp_loto6,JP,2024-12-23,346,19,20,36,40,41,43,,22,
